avg_bikes_avail,time
15.009642824265855,0
15.029577075462967,1
15.030700069161618,2
15.0405149884704,3
15.025788054427686,4
15.037688052925953,5
14.83621650058798,6
13.647350609614755,7
11.457950934380714,8
10.577160160051887,9
10.862599191033423,10
10.90041906878747,11
11.096702907478146,12
11.526050794822142,13
11.507185057542028,14
10.883341792399154,15
10.828372893863,16
12.893599877215859,17
14.282168652527972,18
14.95900532478091,19
15.115658717508575,20
15.150761429096717,21
15.078933268014893,22
15.015195590599387,23
